"Make","Model","Variant","Price","Displacement","Cylinders","Drivetrain","Fuel_System","Fuel_Tank_Capacity","Fuel_Type","Height","Length","Width","Doors","City_Mileage","ARAI_Certified_Mileage","Power","Torque","Type","Wheelbase"
"Hyundai","Aura","S 1.2 Cng Petrol (Cng +","728,900","1197","","FWD (Front Wheel Drive)","Injection","37","CNG ","1520","3995","1680","5","","20.5","69","95","Manual","2450"
"Hyundai","Aura","Sx Plus 1.0 Petrol","854,900","998","","FWD (Front Wheel Drive)","Injection","37","Petrol","1520","3995","1680","5","","20.5","100","172","Manual","2450"
"Hyundai","Aura","S 1.2 Diesel","773,800","1186","","FWD (Front Wheel Drive)","Injection","37","Diesel","1520","3995","1680","5","","25.35","75","190","Manual","2450"
"Hyundai","Aura","S 1.2 Amt Diesel","823,700","1186","","FWD (Front Wheel Drive)","Injection","37","Diesel","1520","3995","1680","5","","20.4","75","190","Automatic","2450"
"Hyundai","Aura","Sx Plus 1.2 Amt Diesel","922,700","1186","","FWD (Front Wheel Drive)","Injection","37","Diesel","1520","3995","1680","5","","25.4","75","190","Automatic","2450"
"Hyundai","Aura","Sx (O) 1.2 Diesel","903,800","1186","","FWD (Front Wheel Drive)","Injection","37","Diesel","1520","3995","1680","5","","25.35","75","190","Manual","2450"
"Volkswagen","Polo","Trendline 1.0L (P)","582,000","999","3","FWD (Front Wheel Drive)","Injection","45","Petrol","1469","3971","1682","5","14","18.78","76","95","Manual","2469"
"Volkswagen","Polo","Comfortline 1.0 (P)","676,500","999","3","FWD (Front Wheel Drive)","Injection","45","Petrol","1469","3971","1682","5","14","18.78","76","95","Manual","2469"
"Volkswagen","Polo","Highline Plus 1.0 (P)","776,500","999","3","FWD (Front Wheel Drive)","Injection","45","Petrol","1469","3971","1682","5","14","18.78","76","95","Manual","2469"
"Volkswagen","Polo","Trendline 1.5L (D)","734,500","1498","4","FWD (Front Wheel Drive)","Injection","45","Diesel","1469","3971","1682","5","19","20.14","90","230","Manual","2469"
